"","player_name","first_name_punc","last_name_punc","first_name_lower","last_name_lower","last_name_suffix","espn_link","espn_number","espn_id","first_season","last_season"
"1062","Nate Wolters","Nate","Wolters","nate","wolters",NA,"2491079/nate-wolters",2491079,"nate-wolters",2014,2018
"1063","Pero Antic","Pero","Antic","pero","antic",NA,"2585616/pero-antic",2585616,"pero-antic",2014,2015
"1064","Ryan Kelly","Ryan","Kelly","ryan","kelly",NA,"2488651/ryan-kelly",2488651,"ryan-kelly",2014,2017
"1065","Cody Zeller","Cody","Zeller","cody","zeller",NA,"2579258/cody-zeller",2579258,"cody-zeller",2014,2019
"1066","Hollis Thompson","Hollis","Thompson","hollis","thompson",NA,"6634/hollis-thompson",6634,"hollis-thompson",2014,2017
"1067","Kentavious Caldwell-Pope","Kentavious","Caldwell-Pope","kentavious","caldwell-pope",NA,"2581018/kentavious-caldwell-pope",2581018,"kentavious-caldwell-pope",2014,2019
"1068","Ray McCallum","Ray","McCallum","ray","mccallum",NA,"2528447/ray-mccallum",2528447,"ray-mccallum",2014,2016
"1069","Casper Ware","Casper","Ware","casper","ware",NA,"2326434/casper-ware",2326434,"casper-ware",2014,2014
"1070","CJ McCollum","CJ","McCollum","cj","mccollum",NA,"2490149/cj-mccollum",2490149,"cj-mccollum",2014,2019
"1071","Gorgui Dieng","Gorgui","Dieng","gorgui","dieng",NA,"2534781/gorgui-dieng",2534781,"gorgui-dieng",2014,2019
"1072","Isaiah Canaan","Isaiah","Canaan","isaiah","canaan",NA,"2490589/isaiah-canaan",2490589,"isaiah-canaan",2014,2019
"1073","Matthew Dellavedova","Matthew","Dellavedova","matthew","dellavedova",NA,"2489716/matthew-dellavedova",2489716,"matthew-dellavedova",2014,2019
"1074","Nick Calathes","Nick","Calathes","nick","calathes",NA,"3969/nick-calathes",3969,"nick-calathes",2014,2015
"1075","Tony Snell","Tony","Snell","tony","snell",NA,"2528353/tony-snell",2528353,"tony-snell",2014,2019
"1076","Vitor Faverani","Vitor","Faverani","vitor","faverani",NA,"3046453/vitor-faverani",3046453,"vitor-faverani",2014,2014
"1077","Anthony Bennett","Anthony","Bennett","anthony","bennett",NA,"2991473/anthony-bennett",2991473,"anthony-bennett",2014,2017
